"Time","Project","Frequency"
"1999-07-01","Xerces",1
"2000-01-01","Xerces",1
"2000-07-01","Xerces",1
"2001-01-01","Xerces",1
"2001-01-01","Log4j",3
"2002-01-01","Log4j",1
"2002-07-01","Xalan",1
"2003-01-01","Xalan",1
"2003-01-01","Ant",3
"2003-07-01","Ant",1
"2004-01-01","Xalan",1
"2004-01-01","Pbeans",1
"2004-07-01","Forrest",1
"2005-01-01","Ivy",1
"2005-01-01","Forrest",1
"2005-07-01","Xalan",1
"2006-01-01","Lucene",1
"2006-07-01","Tomcat",1
"2006-07-01","Ivy",1
"2006-07-01","Velocity",1
"2006-07-01","Ant",1
"2007-01-01","Velocity",1
"2007-01-01","Pbeans",1
"2007-01-01","Forrest",1
"2007-01-01","Synapse",1
"2007-01-01","Lucene",1
"2007-01-01","POI",4
"2007-07-01","Synapse",1
"2008-01-01","Synapse",1
"2008-01-01","CKJM",1
"2008-07-01","Lucene",1
"2008-07-01","Velocity",1
"2009-01-01","Ivy",1
"2009-01-01","Camel",4
